Categorie;Article;Quantite;Prix_Unitaire_EUR;Prix_Total_EUR;Notes;URL
Controls;ESP32-S3 Devkit;1;5.99;5.99;;[https://fr.aliexpress.com/item/1005009330328373.html](https://fr.aliexpress.com/item/1005009330328373.html)
Communication;MAX485 Module RS-485;2;1.295;2.59;;[https://fr.aliexpress.com/item/1005005737922222.html](https://fr.aliexpress.com/item/1005005737922222.html)
Connectique;XLR 3-Pin Panel Mount Connector;3;0.247;0.74;;[https://fr.aliexpress.com/item/32994485419.html](https://fr.aliexpress.com/item/32994485419.html)
Storage;Micro SD Module;1;0.83;0.83;;[https://fr.aliexpress.com/item/1005009224403161.html](https://fr.aliexpress.com/item/1005009224403161.html)
Storage;32GB Micro SD Card;1;4.89;4.89;;[https://fr.aliexpress.com/item/1005012294704811.html](https://fr.aliexpress.com/item/1005012294704811.html)
Connectique;Panel Mount USB-C Connector;1;1.79;1.79;;[https://fr.aliexpress.com/item/1005009101248402.html](https://fr.aliexpress.com/item/1005009101248402.html)
Prototype;Wire;1;0.88;0.88;;[https://fr.aliexpress.com/item/1005001698292417.html](https://fr.aliexpress.com/item/1005001698292417.html)
LTC;LM393 Comparator Module;1;1.24;1.24;;[https://fr.aliexpress.com/item/1005012824868572.html](https://fr.aliexpress.com/item/1005012824868572.html)
LTC;600:600 Ohm Audio Isolation Transformer;10;0.429;4.29;10 pieces;[https://fr.aliexpress.com/item/1005006340217108.html](https://fr.aliexpress.com/item/1005006340217108.html)
Prototype;PCB Board;1;3.49;3.49;;[https://fr.aliexpress.com/item/1005007977006793.html](https://fr.aliexpress.com/item/1005007977006793.html)
TOTAL;;;26.73;;
